"strain","host","plasmid","plasmid_2","strain_2","media","sugar","amino_acids","inducer","concentration","init_ratio","init_dilution","well","time","GFP","mCherry","OD600","OD700","row","column","normalised_OD","normalised_GFP","normalised_mCherry","calibrated_OD","calibrated_GFP"
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.052734375,"D4",0,6858,776,0.1054,0.0991,"D",4,0.01185,262.930861296925,49.9902187439989,9749490.45339938,0.000310428075376404
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.052734375,"D5",0,6757,749,0.0993,0.0922,"D",5,0.00495000000000001,-9.2602660499324,14.7750580062384,4072571.96154658,-1.09330892279992e-05
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.052734375,"D6",0,6785,778,0.1041,0.0973,"D",6,0.01005,145.48448444665,49.8414188697539,8268555.19465517,0.000171765567119564
"","","","","","","","","",NA,NA,NA,"D7",0,NA,NA,NA,NA,"D",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D8",0,NA,NA,NA,NA,"D",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D9",0,NA,NA,NA,NA,"D",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D10",0,NA,NA,NA,NA,"D",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D11",0,NA,NA,NA,NA,"D",11,NA,NA,NA,NA,NA
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"D12",0,6729,717,0.0908,0.0856,"D",12,-0.00165,-201.300312936513,-25.0750464151956,-1357523.98718219,-0.000237664260518209
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.019775391,"E1",0,6722,778,0.1009,0.0955,"E",1,0.00825000000000001,37.7597573936182,47.7001102170611,6787619.93591096,4.45808786255168e-05
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.019775391,"E2",0,6854,863,0.1044,0.0988,"E",2,0.01155,251.569198311172,136.630857711877,9502667.91027535,0.000297013981814523
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.019775391,"E3",0,6728,852,0.0991,0.0935,"E",3,0.00625000000000001,-5.94934772334091,119.321290695262,5142136.31508406,-7.02406919595522e-06
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.019775391,"E4",0,6692,765,0.0963,0.0909,"E",4,0.00365,-106.571184375825,29.2288253171196,3003007.60800909,-0.000125822763798774
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.019775391,"E5",0,6637,771,0.1008,0.0951,"E",5,0.00785000000000001,-57.1820636297853,40.2243463126133,6458523.21174559,-6.75117324420862e-05
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.019775391,"E6",0,6798,706,0.102,0.0961,"E",6,0.00885000000000001,128.672488928351,-23.586243926547,7281265.02215904,0.000151916564281937
"","","","","","","","","",NA,NA,NA,"E7",0,NA,NA,NA,NA,"E",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E8",0,NA,NA,NA,NA,"E",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E9",0,NA,NA,NA,NA,"E",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E10",0,NA,NA,NA,NA,"E",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E11",0,NA,NA,NA,NA,"E",11,NA,NA,NA,NA,NA
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"E12",0,6756,789,0.0983,0.0929,"E",12,0.00565,7.13792074063531,55.6076448387576,4648491.22883599,8.42735229624657e-06
"","","","","","","","","",NA,NA,NA,"F1",0,NA,NA,NA,NA,"F",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F2",0,NA,NA,NA,NA,"F",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F3",0,NA,NA,NA,NA,"F",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F4",0,NA,NA,NA,NA,"F",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F5",0,NA,NA,NA,NA,"F",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F6",0,NA,NA,NA,NA,"F",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F7",0,NA,NA,NA,NA,"F",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F8",0,NA,NA,NA,NA,"F",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F9",0,NA,NA,NA,NA,"F",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F10",0,NA,NA,NA,NA,"F",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F11",0,NA,NA,NA,NA,"F",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F12",0,NA,NA,NA,NA,"F",12,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G1",0,NA,NA,NA,NA,"G",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G2",0,NA,NA,NA,NA,"G",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G3",0,NA,NA,NA,NA,"G",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G4",0,NA,NA,NA,NA,"G",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G5",0,NA,NA,NA,NA,"G",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G6",0,NA,NA,NA,NA,"G",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G7",0,NA,NA,NA,NA,"G",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G8",0,NA,NA,NA,NA,"G",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G9",0,NA,NA,NA,NA,"G",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G10",0,NA,NA,NA,NA,"G",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G11",0,NA,NA,NA,NA,"G",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G12",0,NA,NA,NA,NA,"G",12,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H1",0,NA,NA,NA,NA,"H",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H2",0,NA,NA,NA,NA,"H",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H3",0,NA,NA,NA,NA,"H",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H4",0,NA,NA,NA,NA,"H",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H5",0,NA,NA,NA,NA,"H",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H6",0,NA,NA,NA,NA,"H",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H7",0,NA,NA,NA,NA,"H",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H8",0,NA,NA,NA,NA,"H",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H9",0,NA,NA,NA,NA,"H",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H10",0,NA,NA,NA,NA,"H",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H11",0,NA,NA,NA,NA,"H",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"H12",0,NA,NA,NA,NA,"H",12,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A1",1199.825,NA,NA,NA,NA,"A",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A2",1199.825,NA,NA,NA,NA,"A",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A3",1199.825,NA,NA,NA,NA,"A",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A4",1199.825,NA,NA,NA,NA,"A",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A5",1199.825,NA,NA,NA,NA,"A",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A6",1199.825,NA,NA,NA,NA,"A",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A7",1199.825,NA,NA,NA,NA,"A",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A8",1199.825,NA,NA,NA,NA,"A",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A9",1199.825,NA,NA,NA,NA,"A",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A10",1199.825,NA,NA,NA,NA,"A",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A11",1199.825,NA,NA,NA,NA,"A",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"A12",1199.825,NA,NA,NA,NA,"A",12,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B1",1199.825,NA,NA,NA,NA,"B",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B2",1199.825,NA,NA,NA,NA,"B",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B3",1199.825,NA,NA,NA,NA,"B",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B4",1199.825,NA,NA,NA,NA,"B",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B5",1199.825,NA,NA,NA,NA,"B",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B6",1199.825,NA,NA,NA,NA,"B",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B7",1199.825,NA,NA,NA,NA,"B",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B8",1199.825,NA,NA,NA,NA,"B",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B9",1199.825,NA,NA,NA,NA,"B",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B10",1199.825,NA,NA,NA,NA,"B",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B11",1199.825,NA,NA,NA,NA,"B",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"B12",1199.825,NA,NA,NA,NA,"B",12,NA,NA,NA,NA,NA
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.140625,"C1",1199.825,7922,1421,0.1144,0.1038,"C",1,0.0172,1449.77481024614,701.615256357109,14151159.1391113,0.00171166975931997
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.140625,"C2",1199.825,7461,1339,0.1151,0.1044,"C",2,0.0178,1000.9193983307,620.398989969837,14644804.2253594,0.00118173074434127
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.140625,"C3",1199.825,6820,999,0.1168,0.1059,"C",3,0.0193,388.158544261558,282.409625870745,15878916.9409796,0.000458277545822009
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.140625,"C4",1199.825,6715,1012,0.1244,0.1133,"C",4,0.0267,361.599038211982,306.685251260574,21967206.3380391,0.000426920190868506
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.140625,"C5",1199.825,6584,825,0.1188,0.1072,"C",5,0.0206,173.830544015167,110.218290294715,16948481.2945171,0.000205232208018833
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.140625,"C6",1199.825,6190,699,0.1268,0.1147,"C",6,0.0281,-162.523205341378,-3.90504780481001,23119044.8726179,-0.000191882252198434
"","","","","","","","","",NA,NA,NA,"C7",1199.825,NA,NA,NA,NA,"C",7,NA,NA,NA,NA,NA
