Method name: x,,,,,,
Application: SparkControl,,,,V2.3,,
Device: Spark,,,,Serial number: x,,
Firmware:,,,,LUM:V5.2.3|ABS:V4.3.2|ABS_MEX:V5.0.7|MTP:V13.1.5|FLUOR:V5.1.3|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.0.7|FLUOR_MEX:V5.0.7,,
,,,,,,
Date:,,,,19/12/2019,,
Time:,,,,3:20 PM,,
System,,,,x,,
User,,,,x\x,,
Plate,,,,[GRE96ft] - Greiner 96 Flat Transparent Cat. No.: 655101/655161/655192,,
Lid lifter,,,,No lid,,
Humidity Cassette,,,,No humidity cassette,,
Smooth mode,,,,Not selected,,
,,,,,,
List of actions in this measurement script:,,,,,,
Plate,,,,,,
,Absorbance,,,,,OD600
,Absorbance,,,,,OD700
,Fluorescence Top Reading,,,,,GFP 40
,Fluorescence Top Reading,,,,,GFP 50
,Fluorescence Top Reading,,,,,GFP 60
,Fluorescence Top Reading,,,,,GFP 70
,Fluorescence Top Reading,,,,,GFP 80
,Fluorescence Top Reading,,,,,GFP 90
,Fluorescence Top Reading,,,,,GFP 100
,Fluorescence Top Reading,,,,,GFP 110
,Fluorescence Top Reading,,,,,GFP 120
,,,,,,
B12,0.0982,2459,,,,
C1,0.1185,4919,,,,
C2,0.1176,5124,,,,
C3,0.0877,5328,,,,
C4,0.089,5532,,,,
C5,0.0991,5736,,,,
C6,0.0941,5940,,,,
C7,0.0959,6144,,,,
C8,0.0948,6348,,,,
C9,0.0913,6552,,,,
C10,0.0942,6756,,,,
C11,0.096,6960,,,,
C12,0.1,7164,,,,
D1,0.0834,9623,,,,
D2,0.0871,9419,,,,
D3,0.0866,9215,,,,
D4,0.0925,9011,,,,
D5,0.0947,8807,,,,
D6,0.091,8603,,,,
D7,0.0898,8399,,,,
D8,0.0912,8195,,,,
D9,0.0927,7991,,,,
D10,0.0936,7787,,,,
D11,0.1048,7583,,,,
D12,0.0997,7379,,,,
E1,0.772,9839,,,,
E2,0.4572,10044,,,,
E3,0.3738,10248,,,,
E4,0.2496,10452,,,,
E5,0.1722,10656,,,,
E6,0.1421,10860,,,,
E7,0.1224,11064,,,,
E8,0.1139,11268,,,,
E9,0.1084,11472,,,,
E10,0.0983,11676,,,,
E11,0.0957,11880,,,,
E12,0.0959,12084,,,,
F1,0.7162,14544,,,,
F2,0.4821,14340,,,,
F3,0.3286,14136,,,,
F4,0.2339,13932,,,,
F5,0.1817,13728,,,,
F6,0.1462,13524,,,,
F7,0.1241,13320,,,,
F8,0.1214,13116,,,,
F9,0.1027,12912,,,,
F10,0.1001,12708,,,,
F11,0.0934,12503,,,,
F12,0.0994,12298,,,,
G1,0.7304,14759,,,,
G2,0.4927,14963,,,,
G3,0.3322,15167,,,,
G4,0.2385,15371,,,,
G5,0.1792,15575,,,,
G6,0.1383,15779,,,,
G7,0.123,15983,,,,
G8,0.1119,16187,,,,
G9,0.1059,16391,,,,
G10,0.0939,16595,,,,
G11,0.0953,16799,,,,
G12,0.0942,17003,,,,
H1,0.7372,19462,,,,
H2,0.4682,19258,,,,
H3,0.3268,19054,,,,
H4,0.2423,18850,,,,
H5,0.1776,18646,,,,
H6,0.1441,18442,,,,
H7,0.1214,18238,,,,
H8,0.1216,18034,,,,
H9,0.1121,17830,,,,
H10,0.1031,17626,,,,
H11,0.0985,17422,,,,
H12,0.0953,17218,,,,
,,,,,,
,,,,,,
End Time,,,,19/12/2019 15:08,,
,,,,,,
Mode,Fluorescence Top Reading,,,,,
Name,GFP 40,,,,,
Excitation,,,,Monochromator,,
Excitation wavelength,,,,488,nm,
Excitation bandwidth,,,,20,nm,
Emission,,,,Monochromator,,
Emission wavelength,,,,530,nm,
Emission bandwidth,,,,20,nm,
