"calibrant","fluorophore","media","volume_uL","concentration","concentration_M","replicate","well","OD600","OD700","GFP 30","GFP 40","GFP 50","GFP 60","GFP 70","GFP 80","GFP 90","GFP 100","GFP 110","GFP 120","GFP 130","GFP 140","GFP 150","GFP 30 TOP","GFP 40 TOP","GFP 50 TOP","GFP 60 TOP","GFP 70 TOP","GFP 80 TOP","GFP 90 TOP","GFP 100 TOP","GFP 110 TOP","GFP 120 TOP","GFP 130 TOP","GFP 140 TOP","GFP 150 TOP","row","column"
"FITC","GFP","ddH20",125,3.75e+17,0.00498,3,"C2",NA,NA,503,4857,26522,96524,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,5685,31068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,3,"C3",NA,NA,278,2688,14770,55104,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,3150,17250,64285,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,3,"C4",NA,NA,145,1423,7859,29872,87104,NA,NA,NA,NA,NA,NA,NA,NA,176,1695,9336,35481,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",4
"FITC","GFP","ddH20",125,4.69e+16,0.000623,3,"C5",NA,NA,78,736,4102,15558,46146,NA,NA,NA,NA,NA,NA,NA,NA,91,869,4828,18329,54184,NA,NA,NA,NA,NA,NA,NA,NA,"C",5
"FITC","GFP","ddH20",125,2.34e+16,0.000311,3,"C6",NA,NA,39,377,2079,7922,23646,60323,NA,NA,NA,NA,NA,NA,NA,48,442,2455,9318,27867,71272,NA,NA,NA,NA,NA,NA,NA,"C",6
"FITC","GFP","ddH20",125,1.17e+16,0.000156,3,"C7",NA,NA,19,191,1063,4082,12141,31032,71140,NA,NA,NA,NA,NA,NA,24,230,1265,4832,14346,36791,84311,NA,NA,NA,NA,NA,NA,"C",7
"FITC","GFP","ddH20",125,5.86e+15,7.79e-05,3,"C8",NA,NA,10,95,532,2020,6038,15414,35501,76114,NA,NA,NA,NA,NA,10,111,622,2389,7114,18274,41755,90684,NA,NA,NA,NA,NA,"C",8
"FITC","GFP","ddH20",125,2.93e+15,3.89e-05,3,"C9",NA,NA,8,50,272,1029,3094,7860,18220,39579,80097,NA,NA,NA,NA,6,58,321,1227,3702,9458,21733,46817,95663,NA,NA,NA,NA,"C",9
"FITC","GFP","ddH20",125,1.47e+15,1.95e-05,3,"C10",NA,NA,3,26,139,530,1602,4087,9366,20289,41328,80389,NA,NA,NA,5,33,167,631,1904,4858,11116,24328,49494,NA,NA,NA,NA,"C",10
"FITC","GFP","ddH20",125,7.33e+14,9.73e-06,3,"C11",NA,NA,2,13,74,276,835,2122,4938,10689,21711,42498,79231,NA,NA,5,15,89,333,984,2550,5871,12706,25674,50206,NA,NA,NA,"C",11
